num_node,node_min_capacity,node_capacity,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,16,64,3,Vanilla,776088,48533,11990,144493,2.9772115
12000,16,64,3,Vanilla,770670,42578,11971,126986,2.9824321
12000,16,64,3,Vanilla,778452,54977,11993,162661,2.95871
12000,16,64,3,Vanilla,772439,48153,11980,143555,2.9812264
12000,16,64,3,Vanilla,779172,49480,11988,146956,2.9700081
12000,16,64,3,Vanilla,769480,40161,11966,120116,2.990862
12000,16,64,3,Vanilla,777581,40869,11974,122063,2.986689
12000,16,64,3,Vanilla,775173,43864,11968,130954,2.985455
12000,16,64,3,Vanilla,778522,46168,11982,137514,2.9785566
12000,16,64,3,Vanilla,767849,52898,11987,157120,2.9702446
12000,16,64,3,Vanilla,773419,51635,11992,153378,2.970427
12000,16,64,3,Vanilla,776593,24110,11847,72303,2.9988801
12000,16,64,3,Vanilla,773265,40018,11971,119532,2.986956
12000,16,64,3,Vanilla,773666,48163,11983,143170,2.9726138
12000,16,64,3,Vanilla,772527,46039,11987,137233,2.980799
12000,16,64,3,Vanilla,771533,51495,11990,152908,2.9693756
12000,16,64,3,Vanilla,773699,41432,11974,123728,2.9862907
12000,16,64,3,Vanilla,763562,55435,11998,163903,2.95667
12000,16,64,3,Vanilla,773794,57436,11997,169786,2.9560902
12000,16,64,3,Vanilla,770604,47319,11979,140596,2.9712377
12000,16,64,3,Vanilla,773624,47019,11984,139863,2.974606
12000,16,64,3,Vanilla,772848,45938,11989,136909,2.9802995
12000,16,64,3,Vanilla,767159,41438,11965,123761,2.9866548
12000,16,64,3,Vanilla,773409,32939,11925,98674,2.9956586
12000,16,64,3,Vanilla,777001,49352,11988,146758,2.973699
12000,16,64,3,Vanilla,770862,50191,11994,149138,2.9714093
12000,16,64,3,Vanilla,774958,34047,11946,101996,2.9957411
12000,16,64,3,Vanilla,764925,51991,11989,154298,2.967783
12000,16,64,3,Vanilla,768123,51364,11991,152490,2.9688108
12000,16,64,3,Vanilla,773347,54431,11993,161125,2.9601698
12000,16,64,3,Vanilla,779744,49481,11992,147047,2.9717872
12000,16,64,3,Vanilla,774656,40958,11979,122349,2.987182
12000,16,64,3,Vanilla,783104,51578,11992,153007,2.9665167
12000,16,64,3,Vanilla,770035,47144,11985,140140,2.9725945
12000,16,64,3,Vanilla,772562,47512,11989,141579,2.9798577
12000,16,64,3,Vanilla,775522,56129,11989,165986,2.9572237
12000,16,64,3,Vanilla,775736,55808,11995,164952,2.9557052
12000,16,64,3,Vanilla,770818,47413,11982,141266,2.9794781
12000,16,64,3,Vanilla,767982,49233,11989,146339,2.9723763
12000,16,64,3,Vanilla,769330,43044,11989,128445,2.9840395
12000,16,64,3,Vanilla,776017,42421,11975,126522,2.9825323
12000,16,64,3,Vanilla,774008,38434,11969,114946,2.9907374
12000,16,64,3,Vanilla,775318,49194,11987,146289,2.9737163
12000,16,64,3,Vanilla,771350,54671,11994,161991,2.963015
12000,16,64,3,Vanilla,768509,44120,11980,131632,2.9834995
12000,16,64,3,Vanilla,777379,45491,11991,135564,2.9800181
12000,16,64,3,Vanilla,783085,54231,11986,160697,2.9631944
12000,16,64,3,Vanilla,771271,50641,11990,150393,2.9697874
12000,16,64,3,Vanilla,775800,56979,11992,168037,2.949104
12000,16,64,3,Vanilla,781238,45162,11981,134442,2.9768832
12000,16,64,3,Vanilla,777556,45236,11978,134965,2.983575
12000,16,64,3,Vanilla,777066,48252,11980,143481,2.9735763
12000,16,64,3,Vanilla,777558,52267,11993,155254,2.970402
12000,16,64,3,Vanilla,777750,58811,11998,173363,2.947799
12000,16,64,3,Vanilla,774438,47255,11983,140643,2.9762564
12000,16,64,3,Vanilla,762306,27487,11851,82351,2.9959981
12000,16,64,3,Vanilla,774902,52379,11991,155559,2.9698734
12000,16,64,3,Vanilla,764826,38316,11969,114536,2.9892473
12000,16,64,3,Vanilla,780641,46599,11986,138875,2.980214
12000,16,64,3,Vanilla,767338,43117,11975,128682,2.9844842
12000,16,64,3,Vanilla,784365,31882,11936,95536,2.9965498
12000,16,64,3,Vanilla,774108,40846,11980,121974,2.986192
12000,16,64,3,Vanilla,768369,49431,11989,146884,2.9714956
12000,16,64,3,Vanilla,775538,42106,11978,125695,2.985204
12000,16,64,3,Vanilla,777866,56950,11986,168464,2.9581037
12000,16,64,3,Vanilla,776953,37865,11972,113254,2.9909942
12000,16,64,3,Vanilla,771593,39213,11964,117174,2.9881418
12000,16,64,3,Vanilla,764753,34148,11936,102270,2.9949045
12000,16,64,3,Vanilla,773871,43951,11981,131142,2.9838228
12000,16,64,3,Vanilla,774544,47949,11983,142775,2.977643
12000,16,64,3,Vanilla,774684,33481,11936,100203,2.9928317
12000,16,64,3,Vanilla,774353,31617,11931,94742,2.9965525
12000,16,64,3,Vanilla,774388,53687,11993,159266,2.9665654
12000,16,64,3,Vanilla,762171,48317,11995,143623,2.9725149
12000,16,64,3,Vanilla,777368,45329,11982,135117,2.980807
12000,16,64,3,Vanilla,769912,26831,11863,80405,2.9967203
12000,16,64,3,Vanilla,780525,37198,11972,111189,2.9891124
12000,16,64,3,Vanilla,778847,41285,11973,123173,2.9834807
12000,16,64,3,Vanilla,778084,24784,11829,74313,2.9984264
12000,16,64,3,Vanilla,761895,38797,11969,116063,2.9915457
12000,16,64,3,Vanilla,777416,32095,11912,96132,2.9952328
12000,16,64,3,Vanilla,774376,54854,11989,162370,2.9600394
12000,16,64,3,Vanilla,783363,51652,11988,153185,2.9657128
12000,16,64,3,Vanilla,772954,49327,11997,146678,2.9735844
12000,16,64,3,Vanilla,772683,49861,11994,147969,2.96763
12000,16,64,3,Vanilla,773369,44755,11967,133330,2.9791086
12000,16,64,3,Vanilla,778260,40106,11975,119870,2.9888296
12000,16,64,3,Vanilla,778044,47219,11990,140466,2.974777
12000,16,64,3,Vanilla,769752,24254,11820,72722,2.9983509
12000,16,64,3,Vanilla,774902,43573,11980,130030,2.9841874
12000,16,64,3,Vanilla,770664,49137,11993,146154,2.9744184
12000,16,64,3,Vanilla,778396,50130,11985,148926,2.9707959
12000,16,64,3,Vanilla,776726,48563,11987,144289,2.9711714
12000,16,64,3,Vanilla,782318,51703,11993,153574,2.9703112
12000,16,64,3,Vanilla,773826,52187,11988,154850,2.967214
12000,16,64,3,Vanilla,771260,41539,11972,124053,2.9864223
12000,16,64,3,Vanilla,780666,43547,11974,129850,2.9818356
12000,16,64,3,Vanilla,774536,27878,11899,83535,2.9964488
12000,16,64,3,Vanilla,771986,53993,11998,159930,2.9620507
12000,16,64,3,Vanilla,776146,53767,11995,159617,2.9686797
12000,32,64,3,Vanilla,771570,63949,11997,191437,2.9935887
12000,32,64,3,Vanilla,779855,87654,12000,260252,2.969083
12000,32,64,3,Vanilla,770865,55746,11995,167080,2.9971657
12000,32,64,3,Vanilla,772532,62885,11998,188287,2.994148
12000,32,64,3,Vanilla,769051,79690,11999,237510,2.9804242
12000,32,64,3,Vanilla,772655,53502,11992,160374,2.9975328
12000,32,64,3,Vanilla,778654,55483,11990,166307,2.9974406
12000,32,64,3,Vanilla,772886,67987,11998,203489,2.9930575
12000,32,64,3,Vanilla,771119,75045,12000,224044,2.985462
12000,32,64,3,Vanilla,772445,76705,11999,228579,2.9799752
12000,32,64,3,Vanilla,767812,61379,11998,183799,2.9944932
12000,32,64,3,Vanilla,775690,43913,11987,131707,2.9992714
12000,32,64,3,Vanilla,778946,62514,11997,187208,2.9946573
12000,32,64,3,Vanilla,779185,53746,11994,161163,2.9986045
12000,32,64,3,Vanilla,775150,54918,11984,164680,2.9986525
12000,32,64,3,Vanilla,771072,57363,11997,171906,2.9968097
12000,32,64,3,Vanilla,775653,69942,11999,209125,2.9899774
12000,32,64,3,Vanilla,777526,61545,11998,184260,2.993907
12000,32,64,3,Vanilla,779567,74394,11997,222157,2.986222
12000,32,64,3,Vanilla,772173,55287,11991,165723,2.997504
12000,32,64,3,Vanilla,780664,70286,12000,210322,2.992374
12000,32,64,3,Vanilla,777385,50627,11996,151827,2.9989333
12000,32,64,3,Vanilla,772057,49530,11986,148527,2.998728
12000,32,64,3,Vanilla,764696,59346,11998,177704,2.994372
12000,32,64,3,Vanilla,771805,39258,11976,117755,2.999516
12000,32,64,3,Vanilla,772942,37580,11947,112721,2.9994943
12000,32,64,3,Vanilla,774518,58028,11991,173908,2.996967
12000,32,64,3,Vanilla,771479,69398,12000,207414,2.9887605
12000,32,64,3,Vanilla,773526,73221,12000,218473,2.9837477
12000,32,64,3,Vanilla,776330,78066,11995,232770,2.9817078
12000,32,64,3,Vanilla,780735,77368,11998,230753,2.982538
12000,32,64,3,Vanilla,773692,66647,11999,199435,2.9924078
12000,32,64,3,Vanilla,773155,62307,11995,186573,2.9944148
12000,32,64,3,Vanilla,772616,57104,11998,171008,2.9946764
12000,32,64,3,Vanilla,770572,68132,11997,203773,2.990856
12000,32,64,3,Vanilla,771888,63243,11997,189407,2.9949086
12000,32,64,3,Vanilla,777418,64095,11998,191958,2.994898
12000,32,64,3,Vanilla,773784,77148,11999,230314,2.9853528
12000,32,64,3,Vanilla,769759,74838,12000,223386,2.9849274
12000,32,64,3,Vanilla,773732,73002,11999,217844,2.9840827
12000,32,64,3,Vanilla,774891,67831,11997,202802,2.9898129
12000,32,64,3,Vanilla,778543,47157,11986,141359,2.9976249
12000,32,64,3,Vanilla,772611,58359,11991,174707,2.99366
12000,32,64,3,Vanilla,771758,59779,11997,179159,2.9970224
12000,32,64,3,Vanilla,773427,61411,11999,183954,2.995457
12000,32,64,3,Vanilla,780289,56424,11990,169097,2.9968984
12000,32,64,3,Vanilla,776855,50276,11989,150659,2.9966385
12000,32,64,3,Vanilla,772266,63535,11994,190156,2.992933
12000,32,64,3,Vanilla,771573,74651,11999,222654,2.982599
12000,32,64,3,Vanilla,777040,65441,11998,195823,2.9923596
