num_node,node_min_capacity,node_capacity,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,16,64,3,Vanilla,781601,43462,11981,129747,2.9852974
12000,16,64,3,Vanilla,773712,34982,11955,104688,2.9926248
12000,16,64,3,Vanilla,783459,31588,11929,94628,2.9956946
12000,16,64,3,Vanilla,770097,41419,11977,123607,2.9843068
12000,16,64,3,Vanilla,784014,45587,11986,135850,2.9800162
12000,16,64,3,Vanilla,774279,56724,11993,167726,2.956879
12000,16,64,3,Vanilla,778814,26382,11861,79072,2.997195
12000,16,64,3,Vanilla,778554,47262,11991,140803,2.979201
12000,16,64,3,Vanilla,774120,47288,11986,140703,2.9754484
12000,16,64,3,Vanilla,770777,32780,11937,98168,2.994753
12000,16,64,3,Vanilla,768872,41972,11988,125373,2.9870627
12000,16,64,3,Vanilla,772313,44859,11983,133828,2.9833033
12000,16,64,3,Vanilla,772520,35695,11954,106745,2.990475
12000,16,64,3,Vanilla,781128,41966,11977,125269,2.9850116
12000,16,64,3,Vanilla,772103,47191,11990,140529,2.9778771
12000,16,64,3,Vanilla,772611,50541,11993,150415,2.9760985
12000,16,64,3,Vanilla,769781,18821,11634,56432,2.998353
12000,16,64,3,Vanilla,782915,33104,11942,99093,2.9933846
12000,16,64,3,Vanilla,777010,47206,11988,140511,2.9765496
12000,16,64,3,Vanilla,774476,40320,11978,120448,2.9873016
12000,16,64,3,Vanilla,765957,33473,11950,100186,2.9930391
12000,16,64,3,Vanilla,785585,47758,11985,142271,2.9789982
12000,16,64,3,Vanilla,774541,26333,11876,78939,2.9977214
12000,16,64,3,Vanilla,772892,48245,11986,143534,2.9751062
12000,16,64,3,Vanilla,766648,46628,11981,138784,2.976409
12000,16,64,3,Vanilla,775568,52325,11985,155165,2.9654086
12000,16,64,3,Vanilla,775775,52484,11994,155798,2.9684856
12000,16,64,3,Vanilla,781118,40690,11973,121500,2.9859917
12000,16,64,3,Vanilla,776226,43490,11973,129819,2.9850311
12000,16,64,3,Vanilla,771994,48881,11990,145393,2.9744277
12000,16,64,3,Vanilla,778462,36501,11965,109151,2.9903564
12000,16,64,3,Vanilla,789388,56152,11995,166138,2.9587193
12000,16,64,3,Vanilla,770481,32495,11945,97347,2.9957533
12000,16,64,3,Vanilla,774278,46317,11988,137914,2.9776108
12000,16,64,3,Vanilla,772749,40197,11979,120023,2.9858696
12000,16,64,3,Vanilla,778742,56262,11989,166161,2.9533434
12000,16,64,3,Vanilla,770694,33213,11948,99487,2.9954236
12000,16,64,3,Vanilla,781305,49090,11984,145753,2.9690976
12000,16,64,3,Vanilla,779391,47947,11989,142666,2.9754937
12000,16,64,3,Vanilla,770615,42504,11972,126891,2.9853897
12000,16,64,3,Vanilla,777642,45348,11980,135296,2.9835052
12000,16,64,3,Vanilla,774693,54160,11995,160424,2.9620385
