num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,64,6400,1.5,3,Vanilla,1533730,65709,12000,197047,2.9987824
12000,64,6400,1.5,3,Vanilla,1478857,86890,12000,260375,2.996605
12000,64,6400,1.5,3,Vanilla,1507061,97020,11999,290821,2.9975367
12000,64,6400,1.5,3,Vanilla,1565700,83505,11999,250370,2.9982636
12000,64,6400,1.5,3,Vanilla,1479989,77652,11999,232894,2.9992015
12000,64,6400,1.5,3,Vanilla,1453923,90939,12000,272662,2.9982955
12000,64,6400,1.5,3,Vanilla,1498827,111608,12000,333815,2.9909594
12000,64,6400,1.5,3,Vanilla,1436867,70897,11998,212660,2.9995627
12000,64,6400,1.5,3,Vanilla,1445468,87634,11999,262717,2.997889
12000,64,6400,1.5,3,Vanilla,1514461,80527,11999,241406,2.9978268
12000,64,6400,1.5,3,Vanilla,1508953,66190,11996,198515,2.999169
12000,64,6400,1.5,3,Vanilla,1490357,95165,11999,285154,2.9964168
12000,64,6400,1.5,3,Vanilla,1482762,85707,12000,256857,2.9969196
12000,64,6400,1.5,3,Vanilla,1489043,81627,11999,244595,2.9964962
12000,64,6400,1.5,3,Vanilla,1505979,96625,12000,289355,2.9946184
12000,64,6400,1.5,3,Vanilla,1446407,90938,12000,272544,2.997031
12000,64,6400,1.5,3,Vanilla,1551201,86636,12000,259690,2.9974837
12000,64,6400,1.5,3,Vanilla,1477239,74201,12000,222532,2.9990432
12000,64,6400,1.5,3,Vanilla,1483884,53510,11991,160496,2.9993646
12000,64,6400,1.5,3,Vanilla,1484857,73927,11999,221688,2.998742
12000,64,6400,1.5,3,Vanilla,1471410,98518,12000,295303,2.9974523
12000,64,6400,1.5,3,Vanilla,1465660,69368,11997,207995,2.9984286
12000,64,6400,1.5,3,Vanilla,1466257,84113,11998,252118,2.9973726
12000,64,6400,1.5,3,Vanilla,1484734,92199,12000,276332,2.9971259
12000,64,6400,1.5,3,Vanilla,1521458,109125,12000,326857,2.995253
12000,64,6400,1.5,3,Vanilla,1546782,97511,11999,292255,2.997149
12000,64,6400,1.5,3,Vanilla,1418716,74663,11999,223845,2.9980714
12000,64,6400,1.5,3,Vanilla,1445498,74932,11998,224685,2.9985187
12000,64,6400,1.5,3,Vanilla,1472786,76790,11997,230261,2.9985805
12000,64,6400,1.5,3,Vanilla,1453576,75785,12000,227247,2.998575
12000,64,6400,1.5,3,Vanilla,1482449,87494,12000,262232,2.9971426
12000,64,6400,1.5,3,Vanilla,1512586,79773,11997,239192,2.998408
12000,64,6400,1.5,3,Vanilla,1456341,72402,11999,217068,2.998094
12000,64,6400,1.5,3,Vanilla,1499599,100734,12000,301960,2.9975977
12000,64,6400,1.5,3,Vanilla,1513348,71357,11999,213993,2.9989069
12000,64,6400,1.5,3,Vanilla,1505382,74196,12000,222503,2.9988544
12000,64,6400,1.5,3,Vanilla,1522610,82714,12000,247983,2.9980776
12000,64,6400,1.5,3,Vanilla,1506408,76188,11999,228421,2.9981232
12000,64,6400,1.5,3,Vanilla,1484493,74162,11998,222413,2.9990156
12000,64,6400,1.5,3,Vanilla,1465440,105839,11999,316865,2.9938397
12000,64,6400,1.5,3,Vanilla,1446092,90992,11999,272541,2.9952195
12000,64,6400,1.5,3,Vanilla,1471508,108530,12000,324861,2.993283
12000,64,6400,1.5,3,Vanilla,1531416,84331,11999,252776,2.9974267
12000,64,6400,1.5,3,Vanilla,1521999,72166,11999,216376,2.9983094
12000,64,6400,1.5,3,Vanilla,1455693,77275,12000,231714,2.9985635
12000,64,6400,1.5,3,Vanilla,1530559,92772,12000,278040,2.997025
12000,64,6400,1.5,3,Vanilla,1375414,80295,11997,240812,2.999091
12000,64,6400,1.5,3,Vanilla,1452783,70959,11998,212816,2.9991403
12000,64,6400,1.5,3,Vanilla,1432679,87047,12000,260876,2.9969556
12000,64,6400,1.5,3,Vanilla,1445878,96276,12000,288589,2.9975176
12000,64,6400,1.5,3,Vanilla,1519357,62996,12000,188912,2.9987936
